t,y
1.12100000e+00,2.08197592e+00
1.12200000e+00,2.08266411e+00
1.12300000e+00,2.08335248e+00
1.12400000e+00,2.08404101e+00
1.12500000e+00,2.08472972e+00
1.12600000e+00,2.08541860e+00
1.12700000e+00,2.08610764e+00
1.12800000e+00,2.08679686e+00
1.12900000e+00,2.08748625e+00
1.13000000e+00,2.08817581e+00
1.13100000e+00,2.08886553e+00
1.13200000e+00,2.08955543e+00
1.13300000e+00,2.09024550e+00
1.13400000e+00,2.09093573e+00
1.13500000e+00,2.09162614e+00
1.13600000e+00,2.09231672e+00
1.13700000e+00,2.09300746e+00
1.13800000e+00,2.09369837e+00
1.13900000e+00,2.09438946e+00
1.14000000e+00,2.09508071e+00
1.14100000e+00,2.09577213e+00
1.14200000e+00,2.09646371e+00
1.14300000e+00,2.09715547e+00
1.14400000e+00,2.09784740e+00
1.14500000e+00,2.09853949e+00
1.14600000e+00,2.09923175e+00
1.14700000e+00,2.09992418e+00
1.14800000e+00,2.10061678e+00
1.14900000e+00,2.10130954e+00
1.15000000e+00,2.10200248e+00
1.15100000e+00,2.10269558e+00
1.15200000e+00,2.10338885e+00
1.15300000e+00,2.10408228e+00
1.15400000e+00,2.10477588e+00
1.15500000e+00,2.10546965e+00
1.15600000e+00,2.10616359e+00
1.15700000e+00,2.10685770e+00
1.15800000e+00,2.10755197e+00
1.15900000e+00,2.10824640e+00
1.16000000e+00,2.10894101e+00
1.16100000e+00,2.10963578e+00
1.16200000e+00,2.11033071e+00
1.16300000e+00,2.11102582e+00
1.16400000e+00,2.11172109e+00
1.16500000e+00,2.11241652e+00
1.16600000e+00,2.11311212e+00
1.16700000e+00,2.11380789e+00
1.16800000e+00,2.11450382e+00
1.16900000e+00,2.11519992e+00
1.17000000e+00,2.11589618e+00
1.17100000e+00,2.11659261e+00
1.17200000e+00,2.11728921e+00
1.17300000e+00,2.11798597e+00
1.17400000e+00,2.11868289e+00
1.17500000e+00,2.11937998e+00
1.17600000e+00,2.12007723e+00
1.17700000e+00,2.12077465e+00
1.17800000e+00,2.12147223e+00
1.17900000e+00,2.12216998e+00
